Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic,Average Age,Average Income,Average Number of Children Per Household,Percent of Youth
BAY ST and WELLESLEY ST W,M5S 3L6,16636,18418,39,26269,1.028423773,5.6
BAY ST and BLOOR ST W,M4W 3B8,19112,29629,45.3,49760,1.045380875,10.6
YORK ST and WELLINGTON ST W,Canada,5575,32338, ,,,
KING ST W and YORK ST,M5X 2A2,12474,20091, ,,,
YORK ST and ADELAIDE ST W,Canada,14130,9142, ,,,
YORK ST and RICHMOND ST W,Canada,9677,11122, ,,,
UNIVERSITY AVE and YORK ST,M5J,16857,17564,38.5,47669,0.912935323,6.2
UNIVERSITY AVE and WELLINGTON ST W,M5J,18390,18152,38.5,47669,0.912935323,6.2
UNIVERSITY AVE and KING ST W,M5H,16694,8406,35.8,48171,0.872340426,4
UNIVERSITY AVE and ADELAIDE ST W,M5H 0A2,20740,5715,35.8,48171,0.872340426,4
UNIVERSITY AVE and RICHMOND ST W,M5H,20727,5525,35.8,48171,0.872340426,4
UNIVERSITY AVE and QUEEN ST W,M5H 4G1,23078,10824,35.8,48171,0.872340426,4
UNIVERSITY AVE and DUNDAS ST W,M5G,30191,28927,32.9,26802,1.073913043,7.4
UNIVERSITY AVE and ELM ST,M5G 1Y7,26595,17276,32.9,26802,1.073913043,7.4
UNIVERSITY AVE and COLLEGE ST,M5S 3H2,20732,12177,39,26269,1.028423773,5.6
QUEENS PARK CRES E and WELLESLEY ST W,M5S 2Z5,15472,5941,39,26269,1.028423773,5.6
QUEENS PARK CRES E and ST JOSEPH ST,M5S,12427,1217,39,26269,1.028423773,5.6
AVENUE RD and BLOOR ST W,M5S 1M4,24059,14885,39,26269,1.028423773,5.6
EGLINTON AVE E and BRENTCLIFFE RD,M4G,26029,1107,41,48823,1.090981013,18.2
EGLINTON AVE E and LAIRD DR,M4G 2L1,19362,2018,41,48823,1.090981013,18.2
EGLINTON AVE E and RUMSEY RD,M4G 1P9,18995,716,41,48823,1.090981013,18.2
EGLINTON AVE E and BAYVIEW AVE,M4G,30378,2880,41,48823,1.090981013,18.2
EGLINTON AVE E and BANFF RD,M4P 1N6,16885,841,40.8,36334,1.064850843,9.6
MOUNT PLEASANT RD and EGLINTON AVE E,M4P 2Z4,20734,6602,40.8,36334,1.064850843,9.6
EGLINTON AVE E and REDPATH AVE,M4P 1A6,14372,6034,40.8,36334,1.064850843,9.6
